day,month,year,flow,hyear,baseflow,date,threshold
12,12,2000,17.2,2000,1.488,2000-12-12T00:00:00Z,10.349039999999993
28,3,2001,6.67,2001,0.909,2001-03-28T00:00:00Z,5.768239999999999
7,10,2001,10.2,2001,0.24625000000000002,2001-10-07T00:00:00Z,5.868639999999996
4,2,2002,10.7,2002,0.9314117647058824,2002-02-04T00:00:00Z,7.136735999999994
18,3,2002,5.79,2002,0.31682758620689655,2002-03-18T00:00:00Z,5.768239999999999
9,7,2002,1.71,2002,0.09627272727272726,2002-07-09T00:00:00Z,1.3179999999999952
14,11,2002,8.05,2002,0.6316842105263157,2002-11-14T00:00:00Z,7.900880000000004
22,11,2002,8.01,2002,0.6904545454545454,2002-11-22T00:00:00Z,7.900880000000004
1,1,2003,9.94,2003,0.40693548387096773,2003-01-01T00:00:00Z,9.846479999999996
20,1,2003,9.87,2003,0.47414285714285714,2003-01-20T00:00:00Z,9.846479999999996
4,5,2004,3.83,2004,0.2591333333333333,2004-05-04T00:00:00Z,2.809599999999989
11,10,2006,7.31,2006,0.1855,2006-10-11T00:00:00Z,5.868639999999996
6,3,2007,7.06,2007,1.0108108108108107,2007-03-06T00:00:00Z,5.768239999999999
1,7,2007,2.82,2007,0.14414285714285713,2007-07-01T00:00:00Z,1.3179999999999952
20,7,2007,7.94,2007,0.07166666666666667,2007-07-20T00:00:00Z,1.3179999999999952
14,8,2007,2.21,2007,0.05174193548387097,2007-08-14T00:00:00Z,0.8083599999999974
15,1,2008,16.8,2008,0.3645,2008-01-15T00:00:00Z,9.846479999999996
30,4,2008,5.35,2008,0.308,2008-04-30T00:00:00Z,3.9741599999999995
26,5,2008,6.89,2008,0.09268421052631579,2008-05-26T00:00:00Z,2.809599999999989
9,7,2008,1.48,2008,0.06666666666666667,2008-07-09T00:00:00Z,1.3179999999999952
5,9,2008,3.17,2008,0.07100000000000001,2008-09-05T00:00:00Z,2.331280000000006
13,12,2008,19.2,2008,0.31553846153846155,2008-12-13T00:00:00Z,10.349039999999993
9,2,2009,8.92,2009,0.4358888888888889,2009-02-09T00:00:00Z,7.136735999999994
29,11,2009,9.14,2009,0.31796296296296295,2009-11-29T00:00:00Z,7.900880000000004
16,1,2010,11.1,2010,0.37366666666666665,2010-01-16T00:00:00Z,9.846479999999996
28,2,2010,8.04,2010,0.25040625,2010-02-28T00:00:00Z,7.136735999999994
29,4,2012,11.6,2012,0.11188372093023256,2012-04-29T00:00:00Z,3.9741599999999995
10,5,2012,5.29,2012,0.11009302325581395,2012-05-10T00:00:00Z,2.809599999999989
11,6,2012,17.6,2012,0.1485,2012-06-11T00:00:00Z,1.7168000000000028
14,7,2012,3.59,2012,0.13192857142857142,2012-07-14T00:00:00Z,1.3179999999999952
20,12,2012,12.6,2012,0.4296666666666667,2012-12-20T00:00:00Z,10.349039999999993
23,12,2013,18.6,2013,0.8198823529411765,2013-12-23T00:00:00Z,10.349039999999993
1,1,2014,12.7,2014,1.2707142857142857,2014-01-01T00:00:00Z,9.846479999999996
17,1,2014,10.7,2014,1.47375,2014-01-17T00:00:00Z,9.846479999999996
31,1,2014,10.3,2014,1.4792857142857143,2014-01-31T00:00:00Z,9.846479999999996
14,2,2014,8.69,2014,1.2176190476190476,2014-02-14T00:00:00Z,7.136735999999994
25,4,2014,5.56,2014,0.2267741935483871,2014-04-25T00:00:00Z,3.9741599999999995
26,8,2014,1.63,2014,0.08757142857142858,2014-08-26T00:00:00Z,0.8083599999999974
8,2,2019,8.289,2019,0.2329090909090909,2019-02-08T00:00:00Z,7.136735999999994
4,3,2019,5.813,2019,0.27086206896551723,2019-03-04T00:00:00Z,5.768239999999999
16,2,2020,22.71,2020,0.9091333333333333,2020-02-16T00:00:00Z,7.136735999999994
5,3,2020,9.164,2020,0.9890384615384615,2020-03-05T00:00:00Z,5.768239999999999
